+---------------------+-----------------------------+-------------------------------------------------------------+-----------------------------+------------------------------------------+-----------------------------+------------------------------------------+
| id                  | nombre requisito            | descripción                                                 | entradas                    | proceso                                  | salidas                     | criterios de aceptación                  |
| RF-PRTL-DPR-43      | Descripción en detalle      | Mostrar descripción de la propiedad.                         | Descripción propiedad       | Renderizar descripción                    | Descripción visible         | Descripción completa y legible           |
| RF-PRTL-DPR-44      | Mapa en detalle             | Mostrar ubicación en mapa.                                   | Ubicación propiedad         | Renderizar mapa                           | Mapa visible                | Ubicación precisa y mapa interactivo     |
| RF-PRTL-DPR-45      | Contacto agente             | Mostrar info agente, formulario y botón "Me interesa".       | Datos agente, usuario       | Renderizar formulario y botón              | Formulario funcional        | Mensaje enviado correctamente            |
| RF-PRTL-TTM-46      | Listado de testimonios      | Listar testimonios en tarjetas.                              | Testimonios sistema         | Renderizar tarjetas                       | Tarjetas testimonios        | Todos los testimonios listados           |
| RF-PRTL-TTM-47      | Datos en testimonios        | Mostrar texto, fecha y nombre usuario en tarjeta.            | Testimonios sistema         | Renderizar datos en tarjetas              | Datos visibles              | Datos completos y legibles               |
| RF-PRTL-TTM-48      | Autorización testimonios    | Testimonios de miembros deben ser autorizados.               | Testimonio usuario          | Validar y autorizar                       | Testimonio publicado        | Solo testimonios autorizados visibles    |
| RF-PRTL-TTM-49      | Imagen en testimonios       | Mostrar imagen asociada al testimonio.                       | Imagen testimonio           | Renderizar imagen                         | Imagen visible              | Imagen se muestra correctamente          |
| RF-PRTL-BLG-50      | Listado de artículos blog   | Listar artículos en tarjetas.                                | Artículos sistema           | Renderizar tarjetas                       | Tarjetas blog               | Todos los artículos listados             |
| RF-PRTL-BLG-51      | Datos en artículos blog     | Mostrar título, bajada y texto en tarjeta.                   | Artículos sistema           | Renderizar datos en tarjetas              | Datos visibles              | Datos completos y legibles               |
| RF-PRTL-BLG-52      | Banda de artículos destacados| Banda de artículos destacados debajo de artículos.           | Artículos destacados        | Renderizar banda                          | Banda visible               | Banda muestra artículos destacados       |
| RF-PRTL-HM-RSC-53   | Bottom bar redes sociales   | Barra inferior fija con iconos y enlaces a redes sociales.   | Enlaces redes CMS           | Renderizar barra                          | Barra visible               | Enlaces correctos y funcionales          |
| RF-PRTL-DAT-54      | Edición de datos usuario    | Permitir editar datos personales y guardar por campo.        | Datos usuario               | Validar y guardar cambios                 | Datos actualizados          | Cambios guardados correctamente          |
| RF-PRTL-DAT-55      | Subida de cédula            | Permitir subir fotos de cédula por ambos lados.              | Archivos usuario            | Procesar y almacenar archivos             | Cédula subida               | Archivos se visualizan correctamente     |
| RF-PRTL-DAT-56      | Verificación de persona     | Guardar usuario como verificado si completa datos y cédula.  | Datos usuario, archivos     | Validar y actualizar estado               | Usuario verificado          | Estado cambia a verificado               |
| RF-PRTL-MPB-57      | Mis publicaciones           | Mostrar propiedades publicadas por el usuario.               | Usuario logueado            | Consultar y mostrar propiedades           | Listado publicaciones       | Todas las publicaciones listadas         |
| RF-PRTL-MPB-58      | Métricas de publicaciones   | Mostrar visitas y favoritos de cada propiedad.               | Propiedades usuario         | Consultar y mostrar métricas              | Métricas visibles           | Datos actualizados y legibles            |
| RF-PRTL-MFA-59      | Mis favoritos               | Mostrar propiedades marcadas como favoritas.                 | Usuario logueado            | Consultar y mostrar favoritos             | Listado favoritos           | Todos los favoritos listados             |
| RF-PRTL-MFA-60      | Desmarcar favoritos         | Permitir desmarcar propiedad como favorita.                  | Usuario logueado            | Procesar acción y actualizar favoritos    | Favorito eliminado          | Favorito desaparece de la lista          |
| RF-PRTL-MFA-61      | Acceso a detalle desde favoritos| Acceso al detalle desde tarjeta de favoritos.            | Usuario logueado            | Redirigir a detalle de propiedad          | Detalle accesible           | Acceso directo y funcional               |
| RF-PRTL-EPA-62      | Estado de pagos arriendo    | Visualizar estado de pagos de arriendo.                      | Usuario arrendatario        | Consultar y mostrar estado de pagos       | Estado de pagos visible     | Datos correctos y actualizados           |
+---------------------+-----------------------------+-------------------------------------------------------------+-----------------------------+------------------------------------------+-----------------------------+------------------------------------------+

Nota: Para requisitos compuestos o con procesos complejos, ver detalles en ACCIONES.txt y flujos.txt.
